DATETIME,IDENTIFIER,INFO,FILE,USER,LAB,VERSION,TAG1,TAG2,TAG3
"2019-09-10 21:36:21",reports,X,reports,506,1008,3.4,X,X,X
"2019-09-10 22:36:32",daily_log_patients,from=2019-09-10&to=2019-09-10,reports_dailypatients.php?yt=2019&mt=09&dt=10&yf=2019&mf=09&df=10&l=1008&labsec=0,506,1008,3.4,X,X,X
"2019-09-10 22:36:51",daily_log_specimens,from=2019-09-10&to=2019-09-10&ct=0&tt=0,reports_dailyspecimens.php?yt=2019&mt=09&dt=10&yf=2019&mf=09&df=10&l=1008&c=0&t=0&ip=0,506,1008,3.4,X,X,X
"2019-09-10 21:37:06",search,X,search,506,1008,3.4,X,X,X
"2019-09-10 21:37:09",search_p_dyn,op=1&qr=k,search_p_dyn,506,1008,3.4,X,X,X
"2019-09-10 21:37:14",patient_profile,X,patient_profile.php?pid=17,506,1008,3.4,X,X,X
"2019-09-10 21:37:20",reports_testhistory,from=2019-09-10&to=2019-09-10&ip=&viz=,reports_testhistory.php?location=1008&patient_id=17,506,1008,3.4,X,X,X
"2019-09-10 21:37:27",specimen_info,X,specimen_info.php?sid=17,506,1008,3.4,X,X,X
"2019-09-10 21:37:33",patient_profile,X,patient_profile.php?pid=17,506,1008,3.4,X,X,X
"2019-09-10 21:37:37",specimen_info,X,specimen_info.php?sid=17,506,1008,3.4,X,X,X
"2019-09-10 21:37:46",specimen_info,X,specimen_info.php?sid=17&vd=1,506,1008,3.4,X,X,X
"2019-09-10 21:37:50",reports_testhistory,from=2019-09-10&to=2019-09-10&ip=&viz=,reports_testhistory.php?location=1008&patient_id=17&yf=2019&mf=09&df=10&yt=2019&mt=09&dt=10,506,1008,3.4,X,X,X
"2019-09-10 21:38:01",find_patient,X,find_patient,506,1008,3.4,X,X,X
"2019-09-10 21:38:36",reports,X,reports,125,,3.4,X,X,X
"2019-09-10 21:38:42",reports,X,reports,125,0,3.4,X,X,X
"2019-09-10 21:38:49",tests_aggregate_report,from=2018-12-14&to=2019-09-10,tests_aggregate_report,125,0,3.4,X,X,X
"2019-09-10 21:39:05",reports,X,reports,125,0,3.4,X,X,X
"2019-09-10 21:39:08",reports,X,reports,125,0,3.4,X,X,X
"2019-09-10 21:39:20",reports,X,reports,125,0,3.4,X,X,X
"2019-09-10 21:40:12",result_entry_patient_dyn,op=1&qr=k,result_entry_patient_dyn,504,1006,3.4,X,X,X
"2019-09-10 21:40:31",reports_testhistory,from=2019-09-10&to=2019-09-10&ip=0&viz=,reports_testhistory.php?patient_id=4&location=1006&yf=2019&mf=09&df=10&yt=2019&mt=09&dt=10&ip=0,504,1006,3.4,X,X,X
"2019-09-10 21:40:38",specimen_info,X,specimen_info.php?sid=4,504,1006,3.4,X,X,X
"2019-09-10 21:41:06",find_patient,X,find_patient,504,1006,3.4,X,X,X
"2019-09-10 22:41:08",search_p,op=1&qr=k,search_p,504,1006,3.4,X,X,X
"2019-09-10 21:41:18",reports,X,reports,504,1006,3.4,X,X,X
"2019-09-10 21:41:24",test_agg_report,from=2018-12-14&to=2019-09-10,test_agg_report,504,1006,3.4,X,X,X
"2019-09-10 21:41:28",reports,X,reports,504,1006,3.4,X,X,X
"2019-09-10 21:41:33",search,X,search,504,1006,3.4,X,X,X
"2019-09-10 21:41:42",lab_config_home,X,lab_config_home.php?id=1006,504,1006,3.4,X,X,X
"2019-09-10 22:41:44",view_stocks,X,view_stocks,504,1006,3.4,X,X,X
"2019-09-10 21:46:54",catalog,X,catalog,504,1006,3.4,X,X,X
"2019-09-11 07:10:27",reports,X,reports,505,1007,3.4,X,X,X
"2019-09-11 08:10:36",daily_log_patients,from=2019-09-10&to=2019-09-11,reports_dailypatients.php?yt=2019&mt=09&dt=11&yf=2019&mf=09&df=10&l=1007&labsec=0,505,1007,3.4,X,X,X
"2019-09-11 07:10:49",lab_config_home,X,lab_config_home.php?id=1007,505,1007,3.4,X,X,X
"2019-09-11 08:10:50",view_stocks,X,view_stocks,505,1007,3.4,X,X,X
"2019-09-11 07:11:41",reports,X,reports,505,1007,3.4,X,X,X
"2019-09-11 07:12:30",reports,X,reports,505,1007,3.4,X,X,X
"2019-09-11 07:12:37",reports_test_count_grouped,from=2018-12-15&to=2019-09-11,reports_testcount_grouped,505,1007,3.4,X,X,X
"2019-09-11 07:13:43",test_agg_report,from=2018-12-15&to=2019-09-11,test_agg_report,505,1007,3.4,X,X,X
"2019-09-11 07:14:38",reports,X,reports,505,1007,3.4,X,X,X
"2019-09-11 07:14:43",lab_config_home,X,lab_config_home.php?id=1007,505,1007,3.4,X,X,X
"2019-09-11 08:14:44",view_stocks,X,view_stocks,505,1007,3.4,X,X,X
"2019-09-11 07:21:37",reports,X,reports,505,1007,3.4,X,X,X
"2019-09-11 07:21:46",reports_test_count_grouped,from=2018-12-15&to=2019-09-11,reports_testcount_grouped,505,1007,3.4,X,X,X
"2019-09-11 09:51:57",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 09:54:06",lab_config_home,X,lab_config_home.php?id=1007,505,1007,3.4,X,X,X
"2019-09-11 10:54:08",view_stocks,X,view_stocks,505,1007,3.4,X,X,X
"2019-09-11 09:56:09",lab_config_home,X,lab_config_home.php?id=1007&ttrupdate=testreports,505,1007,3.4,X,X,X
"2019-09-11 10:56:10",view_stocks,X,view_stocks,505,1007,3.4,X,X,X
"2019-09-11 10:00:31",lab_config_home,X,lab_config_home.php?id=1007&show_f=1&fadd=1,505,1007,3.4,X,X,X
"2019-09-11 11:00:32",view_stocks,X,view_stocks,505,1007,3.4,X,X,X
"2019-09-11 10:00:52",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:00:54",search_p,op=1&qr=J,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:24:21",patient_profile,X,patient_profile.php?pid=9&update=1,505,1007,3.4,X,X,X
"2019-09-11 10:27:00",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:27:03",search_p,op=1&qr=J,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:28:37",search_p,"op=1&qr=JAMES KATTA",search_p,505,1007,3.4,X,X,X
"2019-09-11 11:29:02",search_p,op=0&qr=000919,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:29:12",search_p,op=0&qr=0009,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:29:15",search_p,op=0&qr=000,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:29:39",search_p,op=1&qr=J,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:29:50",search_p,op=0&qr=009,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:30:01",search_p,op=0&qr=0009,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:30:20",search_p,op=1&qr=J,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:30:42",search_p,op=3&qr=20190910,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:31:03",search,X,search,505,1007,3.4,X,X,X
"2019-09-11 10:31:09",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:31:13",search_p,op=0&qr=9,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:31:22",search,X,search,505,1007,3.4,X,X,X
"2019-09-11 11:31:37",search_s,op=1&qr=0009-19,search_s,505,1007,3.4,X,X,X
"2019-09-11 10:31:41",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:31:43",search_p,op=1&qr=J,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:31:45",patient_profile,X,patient_profile.php?pid=9,505,1007,3.4,X,X,X
"2019-09-11 10:31:56",search,X,search,505,1007,3.4,X,X,X
"2019-09-11 11:31:59",search_s,op=1&qr=000919,search_s,505,1007,3.4,X,X,X
"2019-09-11 10:32:11",search_p_dyn,op=0&qr=000919,search_p_dyn,505,1007,3.4,X,X,X
"2019-09-11 10:32:19",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:32:51",search_p,op=1&qr=JAMES,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:32:55",new_specimen,pid=9&dnum=9,new_specimen.php?pid=9&dnum=9,505,1007,3.4,X,X,X
"2019-09-11 10:34:40",specimen_add,X,specimen_add.php?session_num=20190911-1,505,1007,3.4,X,X,X
"2019-09-11 10:35:04",doctor_register,X,doctor_register,505,1007,3.4,X,X,X
"2019-09-11 10:35:29",result_entry_patient_dyn,op=1&qr=JAMES,result_entry_patient_dyn,505,1007,3.4,X,X,X
"2019-09-11 10:36:19",specimen_info,X,specimen_info.php?sid=13,505,1007,3.4,X,X,X
"2019-09-11 10:37:21",specimen_info,X,specimen_info.php?sid=13&vd=1,505,1007,3.4,X,X,X
"2019-09-11 10:37:50",reports_testhistory,from=2019-09-11&to=2019-09-11&ip=&viz=,reports_testhistory.php?location=1007&patient_id=9&yf=2019&mf=09&df=11&yt=2019&mt=09&dt=11,505,1007,3.4,X,X,X
"2019-09-11 10:40:13",search,X,search,505,1007,3.4,X,X,X
"2019-09-11 10:40:23",search_p_dyn,op=1&qr=James,search_p_dyn,505,1007,3.4,X,X,X
"2019-09-11 10:40:51",patient_profile,X,patient_profile.php?pid=9,505,1007,3.4,X,X,X
"2019-09-11 10:41:07",reports_testhistory,from=2019-09-11&to=2019-09-11&ip=&viz=,reports_testhistory.php?location=1007&patient_id=9,505,1007,3.4,X,X,X
"2019-09-11 10:41:21",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 10:42:05",reports_testhistory,from=2019-09-10&to=2019-09-10&ip=1&viz=,reports_testhistory.php?location=1007&patient_id=3&yf=2019&mf=09&df=10&yt=2019&mt=09&dt=10&ip=1,505,1007,3.4,X,X,X
"2019-09-11 10:42:15",search,X,search,505,1007,3.4,X,X,X
"2019-09-11 10:42:25",search_p_dyn,op=1&qr=moh,search_p_dyn,505,1007,3.4,X,X,X
"2019-09-11 10:42:28",patient_profile,X,patient_profile.php?pid=3,505,1007,3.4,X,X,X
"2019-09-11 10:42:32",specimen_info,X,specimen_info.php?sid=5,505,1007,3.4,X,X,X
"2019-09-11 10:42:48",specimen_info,X,specimen_info.php?sid=5&vd=1,505,1007,3.4,X,X,X
"2019-09-11 10:42:50",reports_testhistory,from=2019-09-10&to=2019-09-10&ip=&viz=,reports_testhistory.php?location=1007&patient_id=3&yf=2019&mf=09&df=10&yt=2019&mt=09&dt=10,505,1007,3.4,X,X,X
"2019-09-11 10:49:10",result_entry_patient_lab_section,labSectionId=2,result_entry_patient_lab_section,505,1007,3.4,X,X,X
"2019-09-11 10:49:38",specimen_info,X,specimen_info.php?sid=4,505,1007,3.4,X,X,X
"2019-09-11 10:49:43",specimen_info,X,specimen_info.php?sid=4&vd=1,505,1007,3.4,X,X,X
"2019-09-11 10:49:45",reports_testhistory,from=2019-09-10&to=2019-09-10&ip=&viz=,reports_testhistory.php?location=1007&patient_id=2&yf=2019&mf=09&df=10&yt=2019&mt=09&dt=10,505,1007,3.4,X,X,X
"2019-09-11 10:49:55",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:49:57",search_p,op=1&qr=j,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:50:01",patient_profile,X,patient_profile.php?pid=8,505,1007,3.4,X,X,X
"2019-09-11 10:50:07",reports_testhistory,from=2019-09-11&to=2019-09-11&ip=&viz=,reports_testhistory.php?location=1007&patient_id=8,505,1007,3.4,X,X,X
"2019-09-11 10:50:13",specimen_info,X,specimen_info.php?sid=10,505,1007,3.4,X,X,X
"2019-09-11 10:50:31",patient_profile,X,patient_profile.php?pid=8,505,1007,3.4,X,X,X
"2019-09-11 10:50:34",find_patient,X,find_patient,505,1007,3.4,X,X,X
"2019-09-11 11:50:38",search_p,op=1&qr=h,search_p,505,1007,3.4,X,X,X
"2019-09-11 11:50:44",search_p,op=1&qr=a,search_p,505,1007,3.4,X,X,X
"2019-09-11 10:50:51",patient_profile,X,patient_profile.php?pid=7,505,1007,3.4,X,X,X
"2019-09-11 10:50:55",find_patient,X,find_patient,505,1007,3.4,X,X,X
